鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三重區,房地(土地+建物)+車位,新北市三重區水漾路二段跟大有街,17.32,住,,,1140724,土地17建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.84,3,2,2,有,無,24800000,202071,坡道平面,20.73,2550000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPPOMLQJQHKGFGF98CB,公園66,B09棟05F號,
三重區,房地(土地+建物)+車位,新北市三重區水漾路二段跟大有街,9.72,住,,,1140719,土地17建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.95,3,2,2,有,無,15940000,218419,坡道平面,20.73,2350000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPQOMLQJQHKGFGF09CB,公園66,B08棟12F號,
三重區,房地(土地+建物)+車位,新北市三重區水漾路二段跟大有街,9.72,住,,,1140724,土地17建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.95,3,2,2,有,無,15960000,216329,坡道平面,20.73,2500000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPROMLQJQHKGFGF56CB,公園66,B08棟11F號,
三重區,房地(土地+建物)+車位,新北市三重區水漾路二段跟大有街,9.72,住,,,1140719,土地17建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.9,2,1,1,有,無,15580000,212804,坡道平面,20.73,2350000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPSOMLQJQHKGFGF66CB,公園66,A06棟08F號,
三重區,房地(土地+建物)+車位,新北市三重區頂崁街206巷跟頂崁街210巷66弄,11.22,住,,,1140711,土地11建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.83,2,1,1,有,無,17830000,205753,坡道平面,21.08,2450000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPTOMLQJQHKGFGF76CB,公園yoyo,A01棟02F號,
三重區,房地(土地+建物)+車位,新北市三重區頂崁街206巷跟頂崁街210巷66弄,14.7,住,,,1140719,土地11建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.26,3,2,2,有,無,22860000,207457,坡道平面,19.36,2550000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPUOMLQJQHKGFGF86CB,公園yoyo,B03棟14F號,
三重區,房地(土地+建物)+車位,新北市三重區頂崁街206巷跟頂崁街210巷66弄,12.18,住,,,1140727,土地11建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.23,2,2,2,有,無,19960000,210228,坡道平面,21.08,2900000,交易總價含下列非屬預售屋價格之費用:傢俱設備費；,RPVOMLQJQHKGFGF96CB,公園yoyo,B06棟09F號,
三重區,房地(土地+建物),新北市三重區頂文二街,6.86,住,,,1140717,土地10建物1車位0,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,39.4,1,1,1,有,無,10400000,263959,,0.0,0,,RPWOMLQJQHKGFGF07CB,新濠漾4-英倫公園,B7棟7號,
三重區,房地(土地+建物),新北市三重區頂文二街,6.8,住,,,1140719,土地10建物1車位0,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,39.13,1,1,1,有,無,10100000,258114,,0.0,0,,RPXOMLQJQHKGFGF17CB,新濠漾4-英倫公園,B16棟5號,
三重區,房地(土地+建物)+車位,新北市三重區頂文二街,6.94,住,,,1140719,土地10建物1車位1,十八層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.33,1,1,1,有,無,12680000,270108,坡道平面,31.42,1900000,,RPOPMLQJQHKGFGF98CB,新濠漾4-英倫公園,A9棟18號,
永和區,房地(土地+建物)+車位,新北市永和區中山路一段,12.84,住,,,1140714,土地39建物1車位1,二十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,159.96,3,2,2,有,無,47390000,331640,坡道平面,28.07,3650000,交易總價含下列非屬預售屋價格之費用:家電費,RPPNMLQJQHKGFHF98CB,頂溪大苑,A3棟23F號,
