鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
北埔鄉,租賃房屋,新竹縣北埔鄉埔心街１１８巷２１號,0.0,,,,1140626,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,171.9,4,2,4,有,無,無,23000,134,,0.0,0,,RPPNMLOKPHKGFCJ78CC,整棟(戶)出租,無,1140710~1150709,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
竹東鎮,租賃房屋,新竹縣竹東鎮中豐路三段１３５巷１１號三樓,0.0,,,,1140711,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851105,112.78,3,2,2,有,無,無,15000,133,,0.0,0,續租案件；,RPQNMLOKPHKGFCJ88CC,整棟(戶)出租,無,1140725~1150724,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹東鎮,租賃房屋,新竹縣竹東鎮長春路三段１５７號九樓,0.0,,,,1140710,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820729,110.97,3,2,2,有,有,有,19000,171,,0.0,0,租金總額含管理費；續租案件；,RPRNMLOKPHKGFCJ98CC,整棟(戶)出租,有,1140801~1150731,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅包租轉租
新豐鄉,租賃房屋,新竹縣新豐鄉民安街２９號八樓,0.0,,,,1140710,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110817,81.21000000000001,2,2,1,有,有,有,19000,234,,0.0,0,續租案件；,RPPNMLOKPHKGFDJ88CC,整棟(戶)出租,有,1140720~1150719,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１７８巷１２號,0.0,,,,1140710,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,20.26,9,0,10,有,無,有,5500,271,,0.0,0,,RPQNMLOKPHKGFDJ98CC,分租套房,無,1140710~1150709,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
竹北市,租賃房屋,新竹縣竹北市嘉豐十路７巷５號,0.0,,,,1140714,土地0建物1車位0,見其他登記事項,13,辦公商業大樓,商業用,鋼筋混凝土造,0970321,178.53,0,0,0,無,有,有,75000,420,,0.0,0,,RPPNMLPKPHKGFBJ78CC,,有,1140715~1160731,有,冷氣、熱水器,
竹北市,租賃房屋+車位,新竹縣竹北市新工二路１５８號四樓,1992.34,工,,,1140711,土地1建物1車位6,四層,5,工廠,廠房,鋼筋混凝土造,1110817,1641.04,0,0,0,無,無,無,288000,,坡道平面,203.49,0,,RPPNMLQKPHKGFBJ88CC,,無,1140814~1200813,有,,
竹北市,租賃房屋,新竹縣竹北市十興路一段５４８號十一樓,0.0,,,,1140622,土地0建物1車位0,十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030321,187.39,3,2,2,有,有,有,27000,144,,0.0,0,續租案件；,RPQNMLQKPHKGFBJ98CC,整棟(戶)出租,有,1140701~1150630,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市台元街３０號二樓之５,0.0,,,,1140710,土地0建物1車位0,二層,6,廠辦,工業用,鋼筋混凝土造,0900612,1403.67,0,0,0,無,有,無,377400,269,,0.0,0,租金總額含稅；續租案件；,RPRNMLQKPHKGFBJ09CC,,有,1140801~1150731,有,,
竹北市,租賃房屋+車位,新竹縣竹北市嘉興路３８４巷７號５樓,0.0,,,,1140626,土地0建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830311,78.37,2,1,2,有,有,有,12000,153,坡道機械,0.0,0,續租案件；,RPSNMLQKPHKGFBJ56CC,整棟(戶)出租,有,1140713~1150712,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
