鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140616,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,7100,430,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPWNMLMJPHKGFBQ17CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPXNMLMJPHKGFBQ27CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPOOMLMJPHKGFBQ09CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段２２９號,0.0,,,,1140620,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0920805,16.5,12,0,12,有,無,有,6100,370,,0.0,0,租金總額含水費；其他公共水費、公共電費；含增建或未登記建物；,RPPOMLMJPHKGFBQ56CC,分租套房,無,1140620~1150619,無,冷氣、熱水器、冰箱,一般轉租
朴子市,租賃房屋,嘉義縣朴子市祥和三路西段７９號,0.0,,,,1140629,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0930528,20.0,4,2,5,有,無,有,7000,350,,0.0,0,,RPQOMLMJPHKGFBQ66CC,分租套房,無,1140629~1150629,無,冷氣、熱水器、洗衣機、冰箱,
太保市,租賃房屋,嘉義縣太保市過溝里過溝４３之２６號,0.0,,,,1140626,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0860509,143.77,4,3,4,有,無,有,28000,195,,0.0,0,,RPPNMLMJPHKGFDQ66CC,整棟(戶)出租,無,1140626~1150625,無,冷氣、熱水器、瓦斯或天然氣,一般代管
太保市,租賃房屋,嘉義縣太保市麻寮里民生路９０巷３５號,0.0,,,,1140627,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0841026,160.9,4,1,3,有,無,有,25500,158,,0.0,0,,RPQNMLMJPHKGFDQ76CC,整棟(戶)出租,無,1140701~1150630,無,冷氣、熱水器、洗衣機,
太保市,租賃房屋,嘉義縣太保市頂港子墘４０之７號２樓之２５,0.0,,,,1140626,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,7200,324,,0.0,0,,RPRNMLMJPHKGFDQ86CC,獨立套房,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機,
太保市,租賃房屋,嘉義縣太保市頂港子墘４０之７號４樓之５２,0.0,,,,1140701,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,23.34,1,0,1,有,有,有,7200,308,,0.0,0,,RPSNMLMJPHKGFDQ96CC,獨立套房,有,1140701~1150630,有,冷氣、熱水器、洗衣機、冰箱,
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號四樓之２０,0.0,,,,1140701,土地0建物1車位0,四層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4500,203,,0.0,0,,RPPNMLNJPHKGFDQ76CC,獨立套房,有,1140701~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
