鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
冬山鄉,土地,永吉段58地號,3.71,,特定農業區,交通用地,1140717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15000,4043,,0.0,0,,RPOOMLLLQHKGFAG08DA,0.0,0.0,0.0,無,0160
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市雪峰二路５３號,790.0,,特定農業區,農牧用地,1140709,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1140407,191.42,3,2,4,有,無,16000000,83586,,0.0,0,,RPTNMLNLPHKGFBG68DA,169.38,0.0,22.04,有,
宜蘭市,土地,凱旋二段5地號,820.63,,特定農業區,農牧用地,1140725,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11180000,13624,,0.0,0,,RPVNMLQLQHKGFBG66DA,0.0,0.0,0.0,無,
礁溪鄉,土地,朝陽段177-3地號,300.0,,一般農業區,甲種建築用地,1140712,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2722500,9075,,0.0,0,,RPSNMLSLQHKGFBG56DA,0.0,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉六結路１２８號,1329.57,,特定農業區,農牧用地,1140722,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,0950704,362.16,5,2,8,有,無,20000000,55224,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPUNMLLJRHKGFBG58DA,362.16,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市平一路３１９巷１３號,111.0,,特定農業區,甲種建築用地,1140708,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820713,221.12,3,2,3,有,無,9550000,43189,,0.0,0,增建：壹樓空地、頂樓其他增建；,RPVNMLLJRHKGFBG68DA,201.93,5.09,14.1,無,0161
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉大吉五路１２２號四樓之２,41.64,,一般農業區,甲種建築用地,1140729,土地2建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土（ＲＣ）,1100917,97.35,2,2,1,有,有,6880000,70673,一樓平面,0.0,0,,RPSNMLMJRHKGFAG38DA,67.78,0.0,4.47,有,0162
羅東鎮,土地,中華段772地號,160.0,住,,,1140721,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,31250,,0.0,0,未登記建物；,RPQNMLNJRHKGFAG28DA,0.0,0.0,0.0,無,
冬山鄉,土地,柯林二段248地號,2635.81,,特定農業區,農牧用地,1140731,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10365329,3933,,0.0,0,朋友間買賣親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNJRHKGFAG68DA,0.0,0.0,0.0,無,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉大福路三段４７巷１２號,112.0,,特定農業區,甲種建築用地,1140701,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701126,149.44,3,2,3,有,無,6500000,43496,,0.0,0,其他增建:1樓/法定空地頂樓加蓋；其他增建；,RPVOMLMJRHKGFBG88DA,149.44,0.0,0.0,無,
