鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,32.11,住,,,1140721,土地6建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.41,3,2,2,有,無,17030000,120995,坡道平面,33.95,1850000,,RPRNMLKKQHKGFBG18CB,皇程首賦,A棟2號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,31.8,住,,,1140721,土地6建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.99,3,2,2,有,無,16750000,120123,坡道平面,33.95,1850000,,RPSNMLKKQHKGFBG28CB,皇程首賦,A棟3號,
壯圍鄉,房地(土地+建物)+車位,宜蘭縣壯圍鄉美福路三段,55.16,,特定農業區,甲種建築用地,1140728,土地2建物1車位1,一層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.98,3,2,2,有,無,11110000,103851,一樓平面,0.0,0,交易總價包含新福段789地號農地持分交易，交易總價2萬元。車位位於法定空地上，面積13.79m2,RPRNMLLKQHKGFBG28CB,吉心立合,G棟G1號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,31.8,住,,,1140722,土地6建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.99,3,2,2,有,無,16800000,121332,坡道平面,33.95,1750000,,RPTNMLLKQHKGFBG48CB,皇程首賦,A棟3號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.51,住,,,1140722,土地6建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.39,2,2,2,有,無,11760000,120751,坡道平面,31.25,1600000,,RPUNMLLKQHKGFBG58CB,皇程首賦,A棟5號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.2,住,,,1140726,土地6建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.27,2,2,2,有,無,12130000,125780,坡道平面,33.95,1650000,,RPOOMLLKQHKGFBG08CB,皇程首賦,A棟1號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.2,住,,,1140727,土地6建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.99,2,2,2,有,無,11990000,124518,坡道平面,33.95,1650000,,RPPOMLLKQHKGFBG18CB,皇程首賦,A棟9號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,31.8,住,,,1140727,土地6建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.99,3,2,2,有,無,17160000,124234,坡道平面,33.95,1750000,,RPQOMLLKQHKGFBG28CB,皇程首賦,A棟7號,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市東港路二段,21.2,住,,,1140727,土地6建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.14,2,2,2,有,無,11710000,120928,坡道平面,33.95,1650000,,RPROMLLKQHKGFBG38CB,皇程首賦,A棟9號,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮維揚路,33.63,住,,,1140719,土地4建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.26,3,2,2,有,無,20100000,134936,坡道平面,27.27,1750000,,RPSNMLLKQHKGFAG38DB,力信擎朗,A棟1號,
