編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLMJRHKGFEP07DA,28,140.02,住家用,鋼筋混凝土造,86年10月30日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLSJRHKGFFP47DA,1,227.71,住宅,鋼筋混凝土造,113年6月21日,四層,見其他登記事項 見其他登記事項,全筆移轉
RPQNMLPJRHKGFAP86EA,10,103.36,商業用,鋼筋混凝土造,104年5月12日,五層,一層 騎樓,全筆移轉
RPQNMLPJRHKGFAP86EA,10,10.11,騎樓，門廳，停車空間，門廊，蓄水池，受電室，水箱，機械室，樓梯間,鋼筋混凝土造,104年5月12日,五層,,持分移轉
RPWOMLQLQHKGFAP67DA,13,536.64,停車空間、機械室、住宅、透空立體構架,鋼筋混凝土造,101年7月12日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮 地下一層,全筆移轉
RPWOMLQLQHKGFAP67DA,13,54.68,車道、甲梯、乙梯、管理室、台電配電室、發電機消防機房,鋼筋混凝土造,101年7月12日,四層,,持分移轉
RPPNMLKMQHKGFAP98DA,31,43.22,住家用,鋼筋混凝土造,83年12月25日,八層,八層 陽台,全筆移轉
RPPNMLKMQHKGFAP98DA,31,7.68,共有部份,鋼筋混凝土造,83年12月25日,八層,,持分移轉
RPPNMLKMQHKGFAP98DA,31,5.85,共有部份,鋼筋混凝土造,83年12月25日,八層,,持分移轉
RPRNMLSLQHKGFAP27DA,45,120.87,住家用,加強磚造,69年4月17日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPPNMLNJRHKGFBP56DA,3,221.48,騎樓、住宅、樓梯間,鋼筋混凝土造,112年1月4日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLOJRHKGFEP07DA,57,158.58,住商用,鋼筋混凝土加強磚造,57年7月20日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPPNMLSJPHKGFAP76DA,33,44.85,住家用,鋼筋混凝土造,81年12月29日,八層,七層 陽台,全筆移轉
RPPNMLSJPHKGFAP76DA,33,20.66,共有部份,鋼筋混凝土造,81年12月29日,八層,,持分移轉
RPPNMLSJPHKGFDP07DA,31,20.98,住家用,鋼筋混凝土造,83年6月14日,九層,二層 陽台,全筆移轉
RPPNMLSJPHKGFDP07DA,31,20.98,住家用,鋼筋混凝土造,83年6月14日,九層,二層 陽台,全筆移轉
RPPNMLSJPHKGFDP07DA,31,8.10,共有部份,鋼筋混凝土造,83年6月14日,九層,,持分移轉
