鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北投區,房地(土地+建物)+車位,臺北市北投區洲美里新洲美段96，97地號,19.52,其他,,,1141002,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,140.46,2,2,2,有,無,36650000,322275,坡道平面,34.96,2650000,,RPWNMLMLIIKGFEA97CB,樺輝沐畇,B棟4號,
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段,4.78,商,,,1141006,土地14建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.26,2,1,1,有,無,22800000,372184,,0.0,0,此?有約定專?之露臺面積約2.97坪。,RPPNMLNLIIKGFBA07CB,橡樹貴麗,A棟11F號,
士林區,房地(土地+建物)+車位,臺北市士林區福林路,14.11,住,,,1141018,土地2建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,131.79,3,2,1,有,無,37340000,372898,坡道平面,39.03,2750000,,RPPNMLNLIIKGFEA37CB,昇陽芙林,B2-13F號,
士林區,房地(土地+建物)+車位,臺北市士林區福林路,14.11,住,,,1141018,土地2建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,131.79,3,2,1,有,無,38680000,383031,坡道平面,39.03,3150000,,RPQNMLNLIIKGFEA47CB,昇陽芙林,B2-16F號,
北投區,房地(土地+建物),臺北市北投區桃源里中央北路三段40巷20弄1號,11.41,住,,,1141013,土地9建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.27,1,1,1,有,無,16550000,270116,,0.0,0,,RPRNMLNLIIKGFEA57CB,鄉林靜岡,A5-10F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里承德路六段,31.88,住,,,1141003,土地1建物1車位1,五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.75,3,2,2,有,無,69130000,377300,坡道平面,40.3,3310000,,RPTNMLNLIIKGFEA77CB,齊興_緻,A01F05號,
北投區,房地(土地+建物)+車位,臺北市北投區桃源里中央北路三段40巷20弄1號,17.74,住,,,1141012,土地9建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.32,2,2,2,有,無,28600000,266639,坡道平面,33.06,3200000,,RPUNMLNLIIKGFEA87CB,鄉林靜岡,A7-10F號,
北投區,房地(土地+建物)+車位,臺北市北投區桃源里中央北路三段40巷20弄1號,23.49,住,,,1141012,土地9建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.17,3,2,2,有,無,37390000,271113,坡道平面,33.06,3200000,,RPVNMLNLIIKGFEA97CB,鄉林靜岡,A2-11F號,
北投區,房地(土地+建物)+車位,臺北市北投區桃源里中央北路三段40巷20弄1號,11.42,住,,,1141012,土地9建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,94.36,1,1,1,有,無,20000000,274062,坡道平面,33.06,3200000,,RPWNMLNLIIKGFEA08CB,鄉林靜岡,A3-11F號,
北投區,房地(土地+建物),臺北市北投區桃源里中央北路三段40巷20弄1號,11.41,住,,,1141012,土地9建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,61.27,1,1,1,有,無,16550000,270116,,0.0,0,,RPXNMLNLIIKGFEA18CB,鄉林靜岡,A5-11F號,
