鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
楠梓區,租賃房屋+車位,高雄市楠梓區北昌街１０１號２樓,0.0,,,,1140811,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890118,130.31,3,2,2,有,無,有,21000,161,坡道機械,7.84,0,,RPUOMLLKQHKGFEE88CC,整棟(戶)出租,有,1140820~1150819,有,冷氣、熱水器、洗衣機、電視機,
鳳山區,租賃房屋,高雄市鳳山區文衡路３１９號,0.0,,,,1140811,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0780120,214.84,4,2,2,有,無,無,43200,201,,0.0,0,租金總額含稅；租賃期間有約定不同租金一樓店面部分:月租金壹萬玖仟元整含「扣??款」及「健保補充保費」。二樓至四樓以上住家部分:月租金貳萬肆仟貳佰元整；,RPUNMLLKQHKGFGE98CC,,無,1140912~1190911,無,冷氣、熱水器,
大寮區,租賃房屋,高雄市大寮區內厝路４０３號３樓,0.0,,,,1140811,土地0建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830205,120.27,4,2,2,有,有,有,16000,133,,0.0,0,租金總額含管理費；,RPVNMLLKQHKGFLE96CC,整棟(戶)出租,有,1140815~1150814,有,熱水器、瓦斯或天然氣,
鼓山區,租賃房屋,高雄市鼓山區博愛一路５３４號１０樓之１,551.0,工,,,1140811,土地1建物1車位0,十層,11,辦公商業大樓,見使用執照,鋼筋混凝土造,0820804,329.22,2,1,0,有,有,無,55000,167,,0.0,0,租金總額含稅；管理費；水費；電費；其他空調費；,RPSNMLMKQHKGFAE28CC,,有,1140818~1160817,有,,
苓雅區,租賃房屋,高雄市苓雅區四維三路２６３號８樓J室,0.0,,,,1140811,土地0建物1車位0,八層,12,辦公商業大樓,辦公室,鋼筋混凝土造,0781109,27.24,0,0,0,無,有,無,8500,312,,0.0,0,8樓為整層屋主自行隔間出租租金總額含稅；水費；租賃建物部分範圍，且未計入共有部分面積；,RPQNMLMKQHKGFBE18CC,,有,1140818~1150831,有,冷氣,
三民區,租賃房屋,高雄市三民區同盟一路９３號十一樓之１,0.0,,,,1140812,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1111013,86.32,2,1,1,有,有,有,19500,226,,0.0,0,未租賃車位，建物登記含有車位面積；,RPVPMLMKQHKGFDE09CC,整棟(戶)出租,有,1140901~1150831,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
楠梓區,租賃房屋,高雄市楠梓區土庫三路２５１巷８號十七樓,0.0,,,,1140811,土地0建物1車位0,十七層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010817,71.3,1,1,1,有,有,有,15400,216,,0.0,0,管理費1100元，水電費 瓦斯費 由承租人負擔「此為高雄市社會住宅包租代管計畫之物件，評定市價租金為19251元，因選擇包租方案須打八折且簽約租金無條件捨去至百分位，實際租賃契約金額15400元。」不含車位租金,RPTQMLMKQHKGFEE09CC,整棟(戶)出租,有,1140813~1150812,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
岡山區,租賃房屋,高雄市岡山區前峰路１１８之６號４樓,5.77,住,,,1140811,土地3建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851125,36.98,1,0,1,有,有,有,8500,230,,0.0,0,,RPQNMLMKQHKGFFE58CC,整棟(戶)出租,無,1140820~1150819,有,冷氣、熱水器、洗衣機、冰箱,
鳳山區,租賃房屋,高雄市鳳山區五權路７０號,57.0,住,,,1140811,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0620701,109.8,5,2,4,有,無,無,26000,237,,0.0,0,,RPOOMLMKQHKGFGE58CC,,無,1140821~1160820,無,,
