鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
永康區,租賃房屋,臺南市永康區仁愛街５３巷１１號,0.0,,,,1140911,土地0建物0車位0,全,4,透天厝,住宅，停車空間,鋼筋混凝土構造,1010224,22.41,8,0,8,有,無,有,6100,272,,0.0,0,租金總額含網路費；其他有線電視或MOD；,RPQQMLRKRHKGFKD27CC,分租套房,無,1141001~1150930,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
永康區,租賃房屋,臺南市永康區三合里南工街２６７巷５８號十一樓之３,0.0,,,,1140915,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,63.36,3,1,2,有,有,有,12000,189,,0.0,0,台南市社會住宅包租代管第四期計畫。續租案件；,RPRQMLRKRHKGFKD37CC,整棟(戶)出租,有,1140920~1150919,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
永康區,租賃房屋,臺南市永康區仁愛街５３巷１１號,0.0,,,,1140915,土地0建物0車位0,全,4,透天厝,住宅，停車空間,鋼筋混凝土構造,1010224,25.05,8,0,8,有,無,有,6500,259,,0.0,0,租金總額含網路費；其他有線電視或MOD；,RPSQMLRKRHKGFKD47CC,分租套房,無,1141001~1150930,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
永康區,租賃房屋,臺南市永康區勝學路２６９巷２號四樓之１１,0.0,,,,1140829,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880426,32.06,1,0,1,有,有,有,6500,203,,0.0,0,參加公會版住宅包租代管計畫4期續租案件；,RPTQMLRKRHKGFKD57CC,獨立套房,有,1140901~1150831,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺南市北區實踐街３９巷４弄５號,0.0,,,,1140918,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0550101,83.44,2,1,1,有,無,無,10500,126,,0.0,0,台南市社會住宅包租代管 增辦第4期計畫 公會版；水、電費由承租人負擔。續租案件；,RPPNMLSKRHKGFAD58CC,整棟(戶)出租,無,1141016~1151015,無,熱水器、冰箱,社會住宅代管
北區,租賃房屋,臺南市北區公園南路３６５號８樓之５,0.0,,,,1140915,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,0960824,29.54,1,0,1,有,有,有,9450,320,,0.0,0,管理費每月550元由出租人負擔,RPQNMLSKRHKGFAD68CC,獨立套房,有,1140922~1150921,有,冷氣、熱水器、洗衣機、電視機、冰箱,
北區,租賃房屋,臺南市北區開南街１３５號,0.0,,,,1140917,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830624,13.87,59,0,58,有,無,有,6000,433,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；續租案件；,RPRNMLSKRHKGFAD78CC,分租套房,無,1140925~1141024,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
中西區,租賃房屋,臺南市中西區金華路三段７８號十一樓之５,0.0,,,,1140901,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790430,35.94,1,0,1,有,有,有,7300,203,,0.0,0,參加公會版住宅包租代管四期計畫續租案件；,RPSNMLSKRHKGFAD88CC,獨立套房,有,1140901~1150831,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
北區,租賃房屋,臺南市北區開元路５０１號２０樓之３,0.0,,,,1140901,土地0建物1車位0,二十層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,116.44999999999999,2,2,1,有,有,有,20000,172,,0.0,0,多人共同承租3；租金總額含管理費；其他公共基金；未租賃車位，建物登記含有車位面積；,RPUNMLSKRHKGFAD09CC,整棟(戶)出租,有,1140901~1150831,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
北區,租賃房屋,臺南市北區開元路５０１號９樓之３,0.0,,,,1140905,土地0建物1車位0,九層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,109.73,2,1,1,有,有,有,20000,182,,0.0,0,租金總額含管理費；其他公共基金；未租賃車位，建物登記含有車位面積；,RPVNMLSKRHKGFAD56CC,整棟(戶)出租,有,1140905~1150904,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
北區,租賃房屋,臺南市北區開元路５２３號２２樓之９,0.0,,,,1140905,土地0建物1車位0,二十二層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1041105,85.14,2,2,1,有,有,有,21000,247,,0.0,0,多人共同承租2；租金總額含管理費；其他公共基金；,RPWNMLSKRHKGFAD66CC,整棟(戶)出租,有,1140905~1150904,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
中西區,租賃房屋,臺南市中西區金華路三段２１８號八樓之３,0.0,,,,1140909,土地0建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840704,78.85,1,1,1,有,有,有,7000,89,,0.0,0,參加公會版住宅包租代管四期計畫，租金為市價9折租金總額含管理費；續租案件；,RPXNMLSKRHKGFAD76CC,獨立套房,有,1140910~1150909,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
中西區,租賃房屋,臺南市中西區民生路二段３０５號八樓之５,0.0,,,,1140910,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860118,30.21,1,0,1,有,有,有,5500,182,,0.0,0,參加公會版住宅包租代管四期計畫，租金為市價9折續租案件；,RPOOMLSKRHKGFAD58CC,獨立套房,有,1140910~1150909,有,冷氣、熱水器、洗衣機,社會住宅代管
北區,租賃房屋+車位,臺南市北區長榮路五段４１巷７６號１樓,0.0,,,,1140916,土地0建物1車位1,一層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0920916,149.0,3,2,2,有,有,無,25000,168,坡道平面,0.0,0,出租人同意114年9月24日~114年9月30日提早讓承租人搬遷物品，期間不計房租,RPROMLSKRHKGFAD88CC,整棟(戶)出租,有,1141001~1160930,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,
