鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉館南村3鄰館南113號,54.36,住,,,1141002,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.44,4,2,2,有,無,8580000,65277,一樓平面,15.1,0,,RPXNMLOKIIKGFBK88CB,公館璞真3,C棟2號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉館南村3鄰館南113號,45.63,住,,,1141007,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.65,3,2,2,有,無,7840000,69596,一樓平面,15.1,0,,RPOOMLOKIIKGFBK08CB,公館璞真3,B棟5號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉館南村3鄰館南113號,54.36,住,,,1141011,土地1建物1車位2,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.06,4,2,2,有,無,9330000,63878,一樓平面,29.72,0,,RPPOMLOKIIKGFBK18CB,公館璞真3,C棟3號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉館南村3鄰館南113號,54.36,住,,,1141002,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.44,4,2,2,有,無,8730000,66418,一樓平面,15.1,0,,RPQOMLOKIIKGFBK28CB,公館璞真3,C棟4號,
公館鄉,房地(土地+建物)+車位,苗栗縣公館鄉館南村3鄰館南113號,54.36,住,,,1141004,土地1建物1車位2,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,146.06,4,2,2,有,無,9480000,64905,一樓平面,29.72,0,,RPROMLOKIIKGFBK38CB,公館璞真3,C棟5號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,25.38,住,,,1140926,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.92,2,1,1,有,無,7560000,84509,坡道平面,26.62,1450000,,RPPNMLOKIIKGFDK28CB,綻高鐵,D棟D2-2F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,34.76,住,,,1141003,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.59,2,2,2,有,無,9710000,82449,坡道平面,26.62,1550000,,RPQNMLOKIIKGFDK38CB,綻高鐵,D棟D1-4F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,32.97,住,,,1140929,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.63,3,1,2,有,無,8600000,85739,坡道機械,19.74,550000,,RPRNMLOKIIKGFDK48CB,綻高鐵,C棟C3-7F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,42.17,住,,,1141003,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,145.27,3,2,2,有,無,11550000,86623,坡道平面,25.21,1150000,,RPSNMLOKIIKGFDK58CB,綻高鐵,C棟C1-7F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮新港一路及高鐵六路交叉路口,34.76,住,,,1141003,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.59,2,2,2,有,無,9500000,83359,坡道平面,26.62,1250000,,RPTNMLOKIIKGFDK68CB,綻高鐵,D棟D1-7F號,
