鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗南鎮,租賃房屋,雲林縣斗南鎮光復街３６號七樓之２１,0.0,,,,1141022,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880412,167.1,3,1,2,有,有,有,16000,96,,0.0,0,,RPPNMLLJJIKGFBP38CC,整棟(戶)出租,有,1141025~1151024,有,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
西螺鎮,租賃房屋,雲林縣西螺鎮光明西路１７７巷２號三樓,0.0,,,,1141015,土地0建物0車位0,三層,5,其他,集合住宅,鋼骨鋼筋混凝土造,1120704,21.42,10,10,10,有,無,有,7875,368,,0.0,0,含增建或未登記建物；,RPPNMLMJJIKGFCP58CC,分租套房,無,1141015~1150930,有,冷氣、熱水器、冰箱,
西螺鎮,租賃房屋,雲林縣西螺鎮文昌路１０３巷２-２號５樓,0.0,,,,1141023,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840307,105.86,3,2,2,有,無,有,15000,142,,0.0,0,,RPQNMLMJJIKGFCP68CC,整棟(戶)出租,無,1141101~1151031,有,,
莿桐鄉,土地,新庄子段2423地號,3376.0,,特定農業區,農牧用地,1141020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,20000,6,,0.0,0,水:井水，電:農用電含增建或未登記建物；,RPPNMLNJJIKGFAP48CC,,,1141120~1191119,,,
斗六市,租賃房屋,雲林縣斗六市大學路二段６７號,0.0,,,,1141008,土地0建物1車位0,全,2,透天厝,農舍,加強磚造,0780415,195.25,6,2,3,有,無,有,25000,128,,0.0,0,,RPPNMLOJJIKGFAP58CC,整棟(戶)出租,無,1141101~1151031,無,,
斗六市,租賃房屋,雲林縣斗六市民生路２３８號五樓,0.0,,,,1141103,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851211,112.67,4,2,2,有,有,有,15317,136,,0.0,0,管理費683元由出租人負擔,RPPNMLPJJIKGFAP68CC,整棟(戶)出租,無,1141104~1151103,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
北港鎮,租賃房屋,雲林縣北港鎮新西街２８-３號,0.0,,,,1141016,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0780801,29.06,4,4,4,有,無,無,8000,275,,0.0,0,,RPPNMLPJJIKGFEP09CC,分租套房,無,1141022~1141122,無,,
北港鎮,租賃房屋,雲林縣北港鎮新西街２８-３號,0.0,,,,1141018,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0780801,29.05,4,4,4,有,無,無,7000,241,,0.0,0,租金總額含水費；,RPQNMLPJJIKGFEP56CC,分租套房,無,1141101~1151031,無,冷氣、熱水器、洗衣機,
莿桐鄉,租賃房屋,雲林縣莿桐鄉延平路１１９之６號,0.0,,,,1141103,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0761125,104.33,3,2,2,有,無,有,11000,105,,0.0,0,,RPPNMLQJJIKGFAP78CC,整棟(戶)出租,無,1141105~1151104,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
北港鎮,租賃房屋,雲林縣北港鎮文化路１３２-１號,0.0,,,,1141030,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,1110522,15.0,7,1,5,有,無,有,5000,333,,0.0,0,,RPPNMLQJJIKGFEP56CC,分租雅房,無,1141030~1151029,無,冷氣、洗衣機、電視機,
斗六市,租賃房屋,雲林縣斗六市府中街２８號,0.0,,,,1141030,土地0建物1車位0,全,4,透天厝,店舖、住宅、停車空間,鋼筋混凝土造,1020510,114.08,2,2,2,有,無,無,30000,263,,0.0,0,,RPPNMLRJJIKGFAP88CC,,無,1141201~1161130,無,冷氣,
斗六市,租賃房屋,雲林縣斗六市樂利街５３號三樓之１７,0.0,,,,1141027,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.549999999999999,1,0,1,有,有,有,4200,270,,0.0,0,含增建或未登記建物；,RPRNMLRJJIKGFAP09CC,獨立套房,有,1141101~1150430,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之７,0.0,,,,1141025,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.380000000000003,1,0,1,有,有,有,4200,229,,0.0,0,含增建或未登記建物；,RPTNMLRJJIKGFAP66CC,獨立套房,有,1141101~1150430,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
