鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
草屯鎮,租賃房屋,南投縣草屯鎮自由街５５號六樓之９,0.0,,,,1141120,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840927,64.85,1,1,1,有,有,有,6500,100,,0.0,0,,RPQOMLNJKIKGFBM58CC,獨立套房,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮和平街５６巷２０號,0.0,,,,1141120,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0590509,114.4,4,2,2,有,無,無,12000,105,,0.0,0,續租案件；,RPROMLNJKIKGFBM68CC,整棟(戶)出租,無,1150118~1160117,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮南坪路５００巷７２弄１１號,0.0,,,,1141120,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0791107,103.32,2,2,2,有,無,無,9000,87,,0.0,0,續租案件；,RPSOMLNJKIKGFBM78CC,整棟(戶)出租,無,1150115~1160114,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮自由街５５號九樓之６,0.0,,,,1141120,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840927,34.67,1,1,1,有,有,有,5000,144,,0.0,0,續租案件；,RPTOMLNJKIKGFBM88CC,獨立套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路７３號二樓,0.0,,,,1141120,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,40.64,4,0,4,有,有,有,6000,148,,0.0,0,,RPUOMLNJKIKGFBM98CC,分租套房,有,1141120~1151119,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
埔里鎮,租賃房屋,南投縣埔里鎮光遠四街２０號,0.0,,,,1141129,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0760504,130.73,4,2,3,有,無,有,12000,92,,0.0,0,,RPPNMLNJKIKGFCM48CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
竹山鎮,租賃房屋,南投縣竹山鎮前山路橫巷２８之１號六樓,0.0,,,,1141120,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0840408,110.67,3,2,2,有,有,有,12000,108,,0.0,0,,RPPNMLNJKIKGFDM58CC,整棟(戶)出租,有,1141125~1151124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮中山路一段２７７巷７號,0.0,,,,1141129,土地0建物1車位0,見其他登記事項,1,其他,住家用,鋼筋混凝土加強磚造,0660507,64.4,3,2,1,有,無,無,16000,248,,0.0,0,,RPPNMLNJKIKGFCM58DC,整棟(戶)出租,無,1141201~1151130,無,熱水器,
草屯鎮,租賃房屋,南投縣草屯鎮富中路５９號４樓,0.0,,,,1141126,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.85,4,0,4,有,有,有,6500,172,,0.0,0,多人共同承租2；,RPPNMLOJKIKGFBM48CC,分租套房,有,1141214~1151213,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮石川路７之１號四樓之７,0.0,,,,1141203,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140117,129.74,2,2,2,有,有,有,13000,100,,0.0,0,未租賃車位，建物登記含有車位面積；,RPQNMLOJKIKGFBM58CC,整棟(戶)出租,有,1141205~1151204,有,熱水器、電視機、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮碧山路１１７３巷４弄１號,0.0,,,,1141129,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,066,101.69,5,1,2,有,無,無,16000,157,,0.0,0,,RPRNMLOJKIKGFBM68CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器,社會住宅代管
南投市,租賃房屋,南投縣南投市彰南路三段８８０巷２６弄６號,0.0,,,,1141206,土地0建物1車位0,全,3,透天厝,集合住宅、停車空間,鋼筋混凝土造,1110127,139.9,4,2,4,有,無,有,19000,136,,0.0,0,續租案件；,RPPNMLSJKIKGFAM78CC,整棟(戶)出租,無,1150101~1151231,無,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮信義街３２３號,107.0,住,,,1141205,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830714,261.16,4,2,3,有,無,無,25000,96,,0.0,0,,RPPNMLSJKIKGFBM88CC,,無,1150201~1200131,無,,
草屯鎮,租賃房屋,南投縣草屯鎮碧山路３４２號６樓之６,5.88,住,,,1141206,土地1建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800920,34.9,1,0,1,有,無,有,6500,186,,0.0,0,,RPQNMLSJKIKGFBM98CC,獨立套房,無,1141215~1151214,有,冷氣、洗衣機、電視機、冰箱、有線電視,
國姓鄉,租賃房屋,南投縣國姓鄉成功街４２號,0.0,,,,1141205,土地0建物1車位0,全,3,透天厝,店舖、住宅、人行道,鋼筋混凝土造,0840406,158.94,4,2,2,有,無,有,11000,69,,0.0,0,,RPPNMLSJKIKGFCM98CC,整棟(戶)出租,無,1141210~1151209,無,熱水器、瓦斯或天然氣,社會住宅代管
南投市,租賃房屋+車位,南投縣南投市中興路１８２巷２６號二樓之１,33.22,住,,,1141117,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0921023,119.31,4,1,2,有,有,無,30000,251,坡道平面,0.0,0,多人共同承租3；,RPQNMLTJKIKGFAM98CC,分層出租,無,1150110~1180109,有,,
草屯鎮,租賃房屋,南投縣草屯鎮太平路一段３０７號十樓之４,0.0,,,,1141208,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800323,169.82999999999998,3,1,3,有,有,有,16000,94,,0.0,0,,RPPNMLTJKIKGFBM98CC,整棟(戶)出租,有,1150105~1160104,有,冷氣、熱水器,社會住宅包租轉租
埔里鎮,租賃房屋,南投縣埔里鎮中山路一段１８１巷９號,0.0,,,,1141205,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700616,82.87,4,2,2,有,無,有,12000,145,,0.0,0,,RPPNMLTJKIKGFCM09CC,整棟(戶)出租,無,1141211~1151210,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
草屯鎮,租賃房屋,南投縣草屯鎮富中路６５號六樓,0.0,,,,1141202,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.4,4,0,4,有,有,有,6500,174,,0.0,0,續租案件；,RPPNMLKKKIKGFBM18CC,分租套房,有,1141219~1150118,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路６５號,0.0,,,,1141207,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.4,4,0,4,有,有,有,8500,227,,0.0,0,續租案件；,RPQNMLKKKIKGFBM28CC,分租套房,有,1141208~1151207,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路６３號６樓,0.0,,,,1141127,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.41,4,0,4,有,有,有,5300,142,,0.0,0,續租案件；,RPRNMLKKKIKGFBM38CC,分租套房,有,1141215~1150314,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路６１號２樓,0.0,,,,1141207,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.39,4,0,4,有,有,有,4800,128,,0.0,0,,RPSNMLKKKIKGFBM48CC,分租套房,有,1141208~1151207,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５５號七樓,0.0,,,,1141126,土地0建物0車位0,七層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.75,4,0,4,有,有,有,5300,140,,0.0,0,續租案件；,RPTNMLKKKIKGFBM58CC,分租套房,有,1150111~1160110,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
草屯鎮,租賃房屋,南投縣草屯鎮富中路５９號,0.0,,,,1141203,土地0建物0車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040825,37.85,4,0,4,有,有,有,6050,160,,0.0,0,,RPUNMLKKKIKGFBM68CC,分租套房,有,1141203~1150102,有,冷氣、熱水器、電視機、冰箱、網路,一般轉租
埔里鎮,租賃房屋,南投縣埔里鎮中華路７０號十樓,0.0,,,,1141208,土地0建物1車位0,十層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0931112,130.79999999999998,3,2,2,有,有,有,14600,112,,0.0,0,每月管理費1400元由承租人負擔，未計入租金。,RPPNMLKKKIKGFCM28CC,整棟(戶)出租,有,1141210~1151209,有,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
埔里鎮,租賃房屋,南投縣埔里鎮東潤路２６巷８弄２３號,0.0,,,,1141209,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0841230,157.1,3,3,3,有,有,有,13000,83,,0.0,0,每月管理費500元由承租人負擔，未計入租金。,RPRNMLKKKIKGFCM48CC,整棟(戶)出租,有,1150105~1160104,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
