鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
八德區,房地(土地+建物)+車位,桃園市八德區和義二街５９號十一樓,29.35,住,,,1141209,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970813,150.31,3,2,2,有,有,13000000,86488,坡道平面,29.66,0,鐵鋁窗增建陽台外推；其他增建；,RPROMLLMKIKGFFH58DA,76.51,5.1,8.16,有,0950
平鎮區,房地(土地+建物),桃園市平鎮區延平路三段４４０巷３６號,36.74,住,,,1141223,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651105,46.06,5,2,3,有,無,2800000,60790,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLPLKIKGFGH68DA,46.06,0.0,0.0,無,
龜山區,房地(土地+建物),桃園市龜山區明成街２１６之８號四樓,10.4,住,,,1141206,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961122,37.53,1,1,1,有,有,3300000,87930,,0.0,0,,RPSNMLNKJHLGFHH68DA,20.97,0.79,2.05,有,0951
龜山區,房地(土地+建物)+車位,桃園市龜山區牛角坡路２９０號十一樓之３,16.58,住,,,1141222,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090909,156.32,3,2,2,有,有,17300000,124303,坡道平面,30.82,1700000,,RPWNMLOKJHLGFHH56DA,78.86,0.0,7.08,有,0952
觀音區,土地,大同段1099地號,9.92,住,,,1141225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,66532,,0.0,0,,RPUQMLNKJHLGFBH68EA,0.0,0.0,0.0,無,0953
大園區,土地,三石段262地號,143.77,住,,,1141202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17170000,119427,,0.0,0,本買賣僅土地交易,RPQNMLQKJHLGFEH58EA,0.0,0.0,0.0,無,
蘆竹區,土地,河底段1003地號,330.58,農,,,1141231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16000000,48400,,0.0,0,,RPRNMLTKJHLGFEH98EA,0.0,0.0,0.0,無,0954
桃園區,土地,埔子段北門埔子小段86-3地號,8.93,都市：其他:道路用地,,,1141222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,930000,104143,,0.0,0,包含公共設施保留地用地；,RPQOMLTKKIKGFAH58DA,0.0,0.0,0.0,無,
桃園區,土地,埔子段北門埔子小段90-1地號,13.19,都市：其他:道路用地,,,1141222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1370000,103867,,0.0,0,包含公共設施保留地用地；,RPROMLTKKIKGFAH68DA,0.0,0.0,0.0,無,0881
桃園區,房地(土地+建物)+車位,桃園市桃園區寶山街６５號,21.98,住,,,1141213,土地1建物1車位1,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0811231,136.59,0,0,0,無,無,22300000,163262,坡道平面,0.0,0,其他增建；,RPSPMLMKJHLGFAH08DA,94.49,10.78,0.0,有,
桃園區,土地,皮寮段470-4地號,619.42,農,,,1141201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16830000,27171,,0.0,0,,RPPOMLQKJHLGFAH08DA,0.0,0.0,0.0,無,0956
桃園區,土地,三元段326地號,334.54,農,,,1141212,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10867000,32483,,0.0,0,,RPWNMLTKJHLGFAH98DA,0.0,0.0,0.0,無,0957
桃園區,房地(土地+建物),桃園市桃園區宏昌十一街３６號五樓,27.1,住,,,1141216,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810630,134.45,3,2,2,有,有,9800000,72890,,0.0,0,陽台外推；其他增建；,RPWNMLKLJHLGFAH18DA,84.01,0.83,14.07,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍岡路三段２８１巷１２弄３２號,84.24,住,,,1141210,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1140417,245.98,4,3,5,有,無,28000000,113830,一樓平面,0.0,0,土地價款:新台幣2016萬元建物價款:新台幣784萬元,RPWNMLSKKIKGFBH09DA,223.42,0.0,22.56,有,
中壢區,房地(土地+建物),桃園市中壢區新中二街１７號三樓之３,6.99,住,,,1141220,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951011,33.14,1,1,1,有,有,3400000,102595,,0.0,0,,RPXNMLQLKIKGFBH09DA,16.72,0.65,2.57,有,0958
中壢區,房地(土地+建物),桃園市中壢區龍川五街２３號五樓,19.22,住,,,1141223,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830926,107.63,3,2,2,有,有,6600000,61321,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOQMLQLKIKGFBH48DA,78.49,2.47,9.17,有,
觀音區,房地(土地+建物)+車位,桃園市觀音區聖心一街１１６號六樓,22.38,住,,,1141219,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140616,88.35,2,2,1,有,有,7200000,92320,一樓平面,27.15,1550000,,RPVPMLRJJHLGFBH88DA,39.75,0.0,3.74,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區華美三路２９７號九樓,12.35,商,,,1141206,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050219,119.92,2,2,1,有,有,10500000,87558,坡道平面,29.62,0,,RPVNMLPKJHLGFBH58DA,54.97,0.0,7.38,有,0959
中壢區,房地(土地+建物),桃園市中壢區九和一街６號二十樓之１,4.45,商,,,1141227,土地1建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900830,45.779999999999994,1,1,1,有,有,5250000,114679,,0.0,0,,RPROMLQKJHLGFBH38DA,32.25,0.0,2.91,有,0960
中壢區,房地(土地+建物),桃園市中壢區合圳北路二段４４３號,198.0,農,,,1141212,土地1建物1車位0,全,二層,透天厝,農業用,加強磚造,0800809,218.32,4,2,2,有,無,4522000,20713,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWPMLKLJHLGFBH48DA,205.96,7.26,5.1,無,
龍潭區,房地(土地+建物),桃園市龍潭區民有路２６７號二樓之９,16.06,商,,,1141207,土地1建物1車位0,二層，見其他登記事項,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0950410,54.58,1,1,1,有,有,3550000,65042,,0.0,0,夾層；,RPPNMLKKKIKGFCH67DA,37.22,0.0,4.38,有,0961
龍潭區,房地(土地+建物)+車位,桃園市龍潭區大昌路一段７６巷７弄３５號八樓,27.16,住,,,1141213,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造、加強磚造,0950721,146.12,3,2,2,有,有,11800000,80756,坡道平面,0.0,0,,RPSNMLPKKIKGFCH48DA,78.73,0.81,8.35,有,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區大昌路一段７５巷１３３弄２９之９號七樓,35.7,,一般農業區,甲種建築用地,1141214,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050701,178.64,3,2,2,有,有,10750000,60177,坡道平面,42.61,0,,RPPNMLLMKIKGFCH97DA,82.6,4.69,9.33,有,0962
大溪區,房地(土地+建物)+車位,桃園市大溪區僑愛一街７２巷１６弄１２號四樓,38.78,住,,,1141218,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910320,174.39,3,2,2,有,有,10200000,58490,坡道平面,0.0,0,,RPTNMLTJJHLGFCH78DA,101.27,0.0,9.8,有,
大溪區,房地(土地+建物),桃園市大溪區中正東路１８之１號八樓,3.28,住,,,1141227,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830912,111.97,3,2,2,有,有,6000000,53586,,0.0,0,未登記建物；,RPPNMLLLJHLGFCH77DA,70.16,0.0,7.51,有,
大溪區,土地,溪崁段52地號,289.96,,風景區,農牧用地,1141222,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9536785,32890,,0.0,0,政府機關標讓售；,RPRNMLLLJHLGFCH97DA,0.0,0.0,0.0,無,
大園區,房地(土地+建物)+車位,桃園市大園區環區西路３９７號四樓,30.36,住,,,1141206,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141013,115.41,2,2,2,有,有,10400000,98888,坡道平面,26.42,1600000,,RPXOMLKKKIKGFEH78DA,55.66,0.0,3.2,有,
蘆竹區,房地(土地+建物),桃園市蘆竹區光復路１４６號十樓之８,19.63,住,,,1141216,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830506,126.23,3,2,2,有,有,10200000,80805,,0.0,0,,RPWPMLQKJHLGFEH66DA,90.78,0.0,12.9,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區錦中街３１號六樓,59.62,住,,,1141227,土地1建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010112,348.93,3,2,3,有,有,29400000,84258,坡道平面,0.0,0,後陽台加窗、鐵鋁窗增建,RPUNMLKLJHLGFEH38DA,166.37,7.36,40.07,有,0963
