鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物),屏東縣屏東市洛陽段937地號,14.65,住,,,1150124,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,61.42,1,1,1,有,無,6360000,103549,,0.0,0,,RPPNMLOJKHLGFAT98CB,萬吉沐山,H-3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市洛陽段937地號,25.69,住,,,1150129,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,129.8,3,2,2,有,無,12880000,104803,坡道平面,22.17,1600000,,RPPNMLSJKHLGFAT76CB,萬吉沐山,A-6號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市洛陽段937地號,20.8,住,,,1150130,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,108.83,2,2,2,有,無,11140000,110085,坡道平面,22.17,1600000,,RPQNMLSJKHLGFAT86CB,萬吉沐山,E-8號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,44.81,住,,,1150131,土地2建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.31,3,2,2,有,無,8580000,69581,一樓平面,0.0,0,,RPPNMLLKKHLGFAT78CB,森活家三期,A2棟1號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市明正段1277地號,24.86,住,,,1150129,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,148.8,3,1,2,有,無,14320000,103146,坡道平面,25.48,1600000,,RPQNMLLKKHLGFAT88CB,旺千禧-哈佛皇家NO.2,A2棟8F號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市崇武路,29.71,住,,,1150122,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,92.22,2,2,2,有,無,8300000,90002,一樓平面,0.0,1300000,,RPRNMLLKKHLGFAT98CB,縣府美學,A棟A5-4F號,
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉新社皮段277-12地號,112.3,,鄉村區,乙種建築用地,1150204,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.65,5,2,4,有,無,13980000,82894,,0.0,0,,RPPNMLMKKHLGFAT88CB,龍本家人3,E2號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉復興路,26.93,,鄉村區,乙種建築用地,1150129,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,123.1,2,1,2,有,無,9460000,76787,一樓平面,15.92,1230000,,RPPNMLNKKHLGFAT98CB,幸福欣印象-豐收區,B2棟4號,
屏東市,房地(土地+建物),屏東縣屏東市洛陽段937地號,21.17,住,,,1150129,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,87.76,2,2,2,有,無,9230000,105173,,0.0,0,,RPPNMLMLKHLGFAT98CB,萬吉沐山,G-3號,
屏東市,房地(土地+建物),屏東縣屏東市洛陽段937地號,14.65,住,,,1150209,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,61.4,1,1,1,有,無,6260000,101954,,0.0,0,,RPQNMLMLKHLGFAT09CB,萬吉沐山,I-4號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市洛陽段937地號,20.8,住,,,1150201,土地1建物1車位1,十層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,108.83,2,2,2,有,無,11450000,113663,坡道平面,22.17,1600000,,RPRNMLMLKHLGFAT56CB,萬吉沐山,E-10號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷71之2號旁,34.02,住,,,1150210,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.41,2,2,2,有,無,9000000,89003,一樓平面,10.02,1400000,部分車位位於法定空地上,RPPNMLOLKHLGFAT56CB,澤曜 . 想曜,A3棟4號,
長治鄉,房地(土地+建物),屏東縣長治鄉單座二巷,53.87,,一般農業區,甲種建築用地,1150131,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,144.65,4,2,4,有,無,11000000,76046,,0.0,0,,RPPNMLPLKHLGFAT66CB,東方領袖NO.5,B棟1號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮壽福路V.S壽福路156巷,40.57,住,,,1150207,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.81,3,2,2,有,無,9100000,79935,一樓平面,14.98,1200000,,RPPNMLOJLHLGFCT66CB,丰。中洲,A棟1號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉香楊路1巷71之2號旁,34.02,住,,,1150210,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.41,2,2,2,有,無,9000000,89003,一樓平面,10.02,1400000,部分車位位於法定空地上,RPPNMLTJLHLGFAT96CB,澤曜 . 想曜,A3棟4號,
