鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮富貴段49地號,33.75,住,,,1141115,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.22,2,2,2,有,無,10200000,101425,一樓平面,27.47,1300000,,RPPNMLLJKIKGFHN78CB,祥揚首綻,D棟6號,
員林市,房地(土地+建物)+車位,彰化縣員林市員水路一段,35.5,,鄉村區,乙種建築用地,1141124,土地3建物1車位1,五層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,140.98,3,2,2,有,無,10850000,87575,坡道平面,31.36,1250000,,RPPNMLLJKIKGFDN48DB,員林A1晴逸心苑-華廈,5A3號,
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉過溝三巷,23.7,,鄉村區,乙種建築用地,1141124,土地3建物1車位1,三層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,144.44,3,2,3,有,無,10250000,86675,坡道平面,37.72,1000000,,RPQNMLLJKIKGFDN58DB,大村A3,3A2號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路二段,14.13,住,,,1141124,土地2建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.17,2,2,1,有,無,13900000,122281,坡道平面,28.69,1980000,,RPPNMLMJKIKGFAN18CB,櫻花中山之櫻,A3棟0號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮富貴段49地號,33.75,住,,,1141129,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,109.93,2,2,2,有,無,10100000,101425,一樓平面,22.18,1200000,,RPPNMLMJKIKGFHN88CB,祥揚首綻,c棟6號,
員林市,房地(土地+建物)+車位,彰化縣員林市永和街17-1號旁,29.11,住,,,1141115,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,111.12,2,1,2,有,無,10400000,101266,升降機械,20.27,1200000,,RPQNMLNJKIKGFDN68CB,元盛三湛B.C區,B棟B1號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙平南路,34.76,住,,,1141120,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.01,3,2,2,有,無,23580000,161818,坡道平面,33.65,2000000,,RPPNMLOJKIKGFAN38CB,御森,11B號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市崙平南路,37.12,住,,,1141124,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,176.03,3,2,2,有,無,23950000,154867,坡道平面,33.65,1900000,,RPQNMLOJKIKGFAN48CB,御森,6A號,
永靖鄉,房地(土地+建物),彰化縣永靖鄉中山路一段134巷,110.66,住,,,1141112,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,150.45,3,3,3,有,無,11530000,76637,,0.0,0,,RPPNMLOJKIKGFDN68CB,靖品苑,C棟18號,
溪湖鎮,房地(土地+建物)+車位,彰化縣溪湖鎮富貴段49地號,32.22,住,,,1141202,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.93,2,2,2,有,無,9550000,100896,一樓平面,22.18,1100000,,RPPNMLOJKIKGFHN09CB,祥揚首綻,F棟6號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市彰南路五段,89.67,,鄉村區,乙種建築用地,1141112,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,163.11,4,2,3,有,無,15900000,97480,一樓平面,0.0,0,停車位位於室內專有範圍內,RPPNMLPJKIKGFAN48CB,山水豐禾二期,C棟17號,
彰化市,房地(土地+建物)+車位,彰化縣彰化市彰南路五段,72.45,,鄉村區,乙種建築用地,1141118,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,163.11,4,2,3,有,無,15400000,94415,一樓平面,0.0,0,停車位位於室內專有範圍內,RPQNMLPJKIKGFAN58CB,山水豐禾二期,C棟15號,
埔鹽鄉,房地(土地+建物),彰化縣埔鹽鄉大新路,95.62,,鄉村區,乙種建築用地,1141129,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,108.23,3,2,3,有,無,8000000,73917,,0.0,0,,RPPNMLPJKIKGFHN56CB,惠萊享家3&惠星享家 3,B棟2號,
員林市,房地(土地+建物)+車位,彰化縣員林市彰化縣員林市員林大道四段,31.48,住,,,1141206,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,173.44,3,2,2,有,無,18400000,127435,坡道平面,43.57,1850000,,RPPNMLRJKIKGFDN98CB,坤悅原鄰薈,_棟C08號,
社頭鄉,房地(土地+建物),彰化縣社頭鄉員集路三段,116.61,,鄉村區,乙種建築用地,1141129,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,179.83,5,3,3,有,無,14000000,77851,,0.0,0,,RPPNMLSJKIKGFEN56CB,上禾苑,B棟1號,
永靖鄉,房地(土地+建物),彰化縣永靖鄉中山路一段134巷,86.43,住,,,1141116,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,147.48,3,3,3,有,無,10800000,73230,,0.0,0,,RPPNMLTJKIKGFDN56CB,靖品苑,A棟7號,
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮北聖路,21.65,,鄉村區,乙種建築用地,1141127,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,74.63,2,2,1,有,無,5600000,75037,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKKIKGFHN88CB,沐田閱,D棟3F號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,24.79,,鄉村區,乙種建築用地,1141205,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.51,2,2,2,有,無,10250000,98757,一樓平面,29.39,1350000,,RPPNMLKKKIKGFHN88DB,賞自在,A棟3F號,
埔心鄉,房地(土地+建物)+車位,彰化縣埔心鄉員鹿路一段,24.85,,鄉村區,乙種建築用地,1141210,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.74,2,2,2,有,無,10620000,102601,一樓平面,29.39,1350000,,RPQNMLKKKIKGFHN98DB,賞自在,C棟3F號,
花壇鄉,房地(土地+建物)+車位,彰化縣花壇鄉禾田巷,24.49,,特定農業區,甲種建築用地,1141121,土地1建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.01,2,2,2,有,無,8550000,77404,坡道平面,28.93,1500000,,RPPNMLLKKIKGFAN18CB,泰和茂昕城,B3棟B3-5F號,
