編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLSKJIKGFAD48CC,46,12.77,共有部分,鋼筋混凝土造,69年5月2日,四層,,
RPQOMLSKJIKGFAD08CC,4,26.45,集合住宅,鋼筋混凝土構造,111年5月6日,五層,,
RPSNMLSKJIKGFBD28CC,42,145.07,住商用,加強磚造,72年11月25日,二層,,
RPTNMLSKJIKGFBD38CC,22,281.19,住宅，停車空間,鋼筋混凝土造,93年3月16日,四層,,
RPUNMLSKJIKGFBD48CC,1,83.67,集合住宅,鋼筋混凝土造,114年5月1日,五層,,
RPUNMLSKJIKGFBD48CC,1,29.14,共同使用部份,鋼筋混凝土造,114年5月1日,五層,,
RPVNMLSKJIKGFBD58CC,25,157.79,住家用,鋼筋混凝土造,89年7月5日,三層,,
RPPNMLOKJIKGFCD67CC,42,13.22,住家用,鋼筋混凝土造,72年12月14日,五層,,
RPUNMLRKJIKGFCD48CC,46,84.99,住商用,鋼筋混凝土造,68年5月17日,五層,,
RPUNMLRKJIKGFCD48CC,46,70.44,避難室,鋼筋混凝土造,68年5月17日,五層,,
RPXNMLRKJIKGFCD78CC,1,56.82,集合住宅,鋼筋混凝土造,114年1月24日,十五層,,
RPXNMLRKJIKGFCD78CC,1,30.66,本共有部分之項目有：防空避難室兼停車空間、停車空間、車道、一般昇降機、梯廳、機電設備空間、排煙機房、樓梯間等共８項。,鋼筋混凝土造,114年1月24日,十五層,,
RPOOMLRKJIKGFCD97CC,18,50.37,住家用,鋼筋混凝土造,97年2月29日,十四層,,
RPTNMLRKJIKGFCD38CC,47,71.85,住家用,鋼筋混凝土造,67年9月6日,四層,,
RPOOMLRKJIKGFCD97CC,18,12.37,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPXNMLNKJIKGFCD38CC,2,28.28,集合住宅,鋼筋混凝土造,113年4月1日,五層,,
RPTNMLRKJIKGFCD38CC,47,5.69,共有部分,鋼筋混凝土造,67年9月6日,四層,,
RPOOMLRKJIKGFCD97CC,18,14.93,共有部分,鋼筋混凝土造,97年2月29日,十四層,,
RPTNMLRKJIKGFCD38CC,47,7.18,共有部分,鋼筋混凝土造,67年9月6日,四層,,
RPUNMLSKJIKGFCD58CC,22,74.30,住家用,鋼筋混凝土造,92年7月3日,六層,,
RPTNMLSKJIKGFCD48CC,47,20.40,住家用,鋼筋混凝土造,68年3月24日,四層,,
RPUNMLSKJIKGFCD58CC,22,16.96,共有部分,鋼筋混凝土造,92年7月3日,六層,,
RPUNMLSKJIKGFCD58CC,22,8.70,共有部分,鋼筋混凝土造,92年7月3日,六層,,
RPROMLOKJIKGFCD97CC,43,87.02,集合住宅,鋼筋混凝土造,71年12月10日,五層,,
RPROMLOKJIKGFCD97CC,43,6.23,共有部分,鋼筋混凝土造,71年12月10日,五層,,
RPSOMLRKJIKGFCD38CC,46,16.53,住家用,加強磚造,68年10月3日,二層,,
RPXNMLOKJIKGFCD48CC,54,74.34,住家用,加強磚造,61年2月11日,二層,,
RPUOMLRKJIKGFCD58CC,44,69.39,住商用,鋼筋混凝土造,70年8月26日,四層,,
RPUOMLRKJIKGFCD58CC,44,6.44,共有部分,鋼筋混凝土造,70年8月26日,四層,,
RPPNMLSKJIKGFGD48CC,1,79.88,集合住宅,鋼筋混凝土造,113年10月16日,十層,,
RPOOMLSKJIKGFCD08CC,30,64.66,住家用,鋼筋混凝土造,84年11月6日,二十層,,
RPXNMLSKJIKGFCD88CC,54,16.53,住家用,加強磚造,61年3月9日,三層,,
RPPNMLSKJIKGFGD48CC,1,62.11,防空避難室兼停車空間、樓電梯間、梯廳、電信室、車道、停車空間、管理委員會空間、水箱等８項,鋼筋混凝土造,113年10月16日,十層,,
RPOOMLSKJIKGFCD08CC,30,12.54,共有部分,鋼筋混凝土造,84年11月6日,二十層,,
RPOOMLSKJIKGFCD08CC,30,15.80,共有部分,鋼筋混凝土造,84年11月6日,二十層,,
RPPOMLSKJIKGFCD18CC,52,77.14,住家用,加強磚造,62年8月5日,二層,,
RPQNMLSKJIKGFGD58CC,44,554.37,廠房、陽台、防空避難,鋼筋混凝土造,70年11月17日,二層,,
RPQOMLSKJIKGFCD28CC,27,86.83,住家用,鋼筋混凝土造,87年12月18日,十四層,,
RPQOMLSKJIKGFCD28CC,27,18.62,共有部分,鋼筋混凝土造,87年12月18日,十四層,,
RPQOMLSKJIKGFCD28CC,27,1.85,共有部分,鋼筋混凝土造,87年12月18日,十四層,,
RPQOMLSKJIKGFCD28CC,27,9.40,共有部分,鋼筋混凝土造,87年12月18日,十四層,,
RPOOMLSKJIKGFKD88CC,32,18.40,住家用,鋼筋混凝土造,83年2月22日,七層,,
RPOOMLSKJIKGFKD88CC,32,9.38,共同使用部份,鋼筋混凝土造,83年2月22日,七層,,
RPOOMLSKJIKGFKD88CC,32,15.54,住家用,鋼筋混凝土造,83年2月22日,七層,,
RPOOMLSKJIKGFKD88CC,32,6.59,共同使用部份,鋼筋混凝土造,83年2月22日,七層,,
RPQOMLSKJIKGFKD09CC,32,24.04,住家用,鋼筋混凝土造,82年12月28日,七層,,
RPQOMLSKJIKGFKD09CC,32,8.21,共同使用部份,鋼筋混凝土造,82年12月28日,七層,,
RPWNMLSKJIKGFKD96CC,28,106.59,住家用,鋼筋混凝土造,86年8月23日,八層,,
RPWNMLSKJIKGFKD96CC,28,22.61,共同使用部份,鋼筋混凝土造,86年8月23日,八層,,
RPWNMLSKJIKGFKD96CC,28,10.84,共同使用部份,鋼筋混凝土造,86年8月23日,八層,,
RPUNMLSKJIKGFKD76CC,21,11.57,住家用,ＳＲＣ造,94年3月3日,二層,,
RPSOMLSKJIKGFKD66CC,8,13.10,住家用,鋼筋混凝土構造,107年4月2日,五層,,
RPSOMLSKJIKGFKD66CC,8,5.84,本共有部分之項目有：電梯間，樓梯間及水箱等３項,鋼筋混凝土構造,107年4月2日,五層,,
RPROMLSKJIKGFKD56CC,19,9.11,辦公室,鋼筋混凝土造,95年9月18日,八層,,
RPROMLSKJIKGFKD56CC,19,9.06,共同使用部份,鋼筋混凝土造,95年9月18日,八層,,
RPWOMLSKJIKGFKD07CC,23,15.00,住家用,鋼筋混凝土造,91年5月17日,四層,,
RPQPMLSKJIKGFKD56CC,30,69.30,住家用,鋼筋混凝土造,84年9月8日,十九層,,
RPQPMLSKJIKGFKD56CC,30,59.38,共同使用部份,鋼筋混凝土造,84年9月8日,十九層,,
RPQNMLTKJIKGFAD08CC,9,86.39,集合住宅,鋼筋混凝土構造,106年1月24日,二十六層,,
RPQNMLTKJIKGFAD08CC,9,41.87,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,,
RPRNMLTKJIKGFAD18CC,45,80.10,住家用,鋼筋混凝土造,69年10月3日,四層,,
RPRNMLTKJIKGFAD18CC,45,19.06,共有部分,鋼筋混凝土造,69年10月3日,四層,,
RPPNMLSKJIKGFBD08DC,17,192.36,店舖，住宅，停車空間,鋼筋混凝土造,98年1月14日,四層,,
RPSNMLTKJIKGFAD28CC,36,31.14,住家用,鋼筋混凝土造,79年4月30日,十二層,,
RPSNMLTKJIKGFAD28CC,36,.39,共有部分,鋼筋混凝土造,79年4月30日,十二層,,
RPSNMLTKJIKGFAD28CC,36,9.38,共有部分,鋼筋混凝土造,79年4月30日,十二層,,
