鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中山區,房地(土地+建物)+車位,基隆市中山區復興路２０９號１１樓之５,18.4,商,,,1150109,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1111201,148.16,3,2,2,有,有,13800000,93143,坡道平面,27.14,0,車編:483,RPXNMLLLJHLGFDC18DA,66.55,5.35,6.91,有,031
安樂區,房地(土地+建物),基隆市安樂區武嶺街２７６號,33.04,住,,,1150116,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650701,75.05,3,2,1,有,無,7500000,99933,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMJKHLGFDC37DA,75.05,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區新西街１３８號３樓,14.0,住,,,1150112,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830706,50.44,2,1,1,有,無,2100000,41634,,0.0,0,廚房及陽台增建其他增建；,RPQNMLLKKHLGFDC47DA,49.3,0.0,0.0,無,032
中正區,房地(土地+建物)+車位,基隆市中正區義一路１２２號六樓之二,14.54,商,,,1150103,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910712,200.97,4,2,2,有,有,23500000,133519,坡道平面,36.2,1500000,,RPWNMLMKKHLGFDC18DA,116.81,0.0,13.1,有,
信義區,房地(土地+建物),基隆市信義區深溪路５５巷２２號２樓,31.13,住,,,1150104,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,132.76,4,2,2,有,有,8000000,60259,,0.0,0,增建:鐵鋁窗、雨遮其他增建；,RPSOMLQJJHLGFDC08DA,91.92,0.0,9.72,有,
仁愛區,房地(土地+建物),基隆市仁愛區仁四路１９巷４１之３號,23.25,住,,,1150112,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621020,76.15,3,2,1,有,無,2800000,36770,,0.0,0,,RPWNMLNLJHLGFDC28DA,76.15,0.0,0.0,無,
信義區,房地(土地+建物),基隆市信義區深澳坑路１０９巷１３弄４號２樓,71.31,住,,,1150111,土地1建物1車位0,二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830901,223.11,4,3,3,有,無,6220000,27879,,0.0,0,陽台外推；夾層；,RPUNMLTLJHLGFDC68DA,182.3,0.0,11.26,無,033
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路２之５號１５樓之１０,10.29,住,,,1150115,土地4建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,77.18,0,0,0,無,有,4500000,58305,坡道平面,0.0,0,,RPVNMLQJKHLGFDC38DA,26.8,0.0,4.98,有,034
中山區,房地(土地+建物)+車位,基隆市中山區復興路２０１巷８弄３９號２樓,47.38,商,,,1150130,土地2建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860621,163.8,3,2,2,有,有,6800000,41514,坡道平面,0.0,800000,本案買賣總價680萬元分別為:土地3720000元 建物2280000元 車位800000元,RPSOMLKKKHLGFDC67DA,72.26,35.95,0.0,有,
七堵區,土地,長安段695-5地號,11.59,,鄉村區,交通用地,1150130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,315000,27179,,0.0,0,,RPPNMLLKKHLGFDC37DA,0.0,0.0,0.0,無,
