鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物),屏東縣屏東市建和街,368.86,工,,,1140212,土地3建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,,193.2,1,0,2,有,無,23989915,,,0.0,0,,RPPNMLOKKHKGFAT98CB,加百列二期,A5棟A5號,
屏東市,房地(土地+建物),屏東縣屏東市田中巷,26.38,住,,,1140212,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.75,2,2,2,有,無,6670000,86906,,0.0,0,,RPPNMLRKKHKGFAT66CB,民生·愛樂,B棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市復興南路一段,26.98,,一般農業區,甲種建築用地,1140217,土地3建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.4,3,2,2,有,無,8250000,74113,坡道平面,19.22,1270000,,RPRNMLTKKHKGFAT07CB,MR55,A9棟2號,
長治鄉,房地(土地+建物),屏東縣長治鄉單座二巷,55.72,,一般農業區,甲種建築用地,1140216,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,144.65,4,2,4,有,無,11000000,76046,,0.0,0,,RPPNMLKLKHKGFAT68CB,東方領袖NO.5,A棟1號,
長治鄉,房地(土地+建物),屏東縣長治鄉單座二巷,53.87,,一般農業區,甲種建築用地,1140213,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,144.65,4,2,4,有,無,10300000,71206,,0.0,0,,RPQNMLKLKHKGFAT78CB,東方領袖NO.5,B棟7號,
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉社皮路三段,27.55,,鄉村區,乙種建築用地,1140219,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.27,3,2,2,有,無,6800000,64786,一樓平面,12.06,1150000,,RPSNMLKLKHKGFAT98CB,福砌Ⅱ,A棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市清世街61號旁,35.36,住,,,1140222,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,91.21,3,2,2,有,無,9300000,101963,一樓平面,0.0,1300000,車位位於法定空地上,RPPNMLPLKHKGFAT56CB,澤曜 . 好young,A2棟2號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市清世街61號旁,32.5,住,,,1140223,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,104.56,3,1,2,有,無,8500000,85888,一樓平面,20.73,1300000,,RPQNMLPLKHKGFAT66CB,澤曜 . 好young,A3棟2號,
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉潭頭路,21.52,商,,,1140218,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.84,3,2,2,有,無,10380000,83500,坡道平面,31.69,1600000,,RPRNMLPLKHKGFAT76CB,白上白,A棟3號,
