鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
神岡區,房地(土地+建物)+車位,臺中市神岡區北庄路,31.74,住,,,1140504,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.95,3,2,2,有,無,13420000,102847,坡道平面,33.05,1500000,,RPQNMLLLNHKGFDB67CB,瑧璟璞萃,A3棟10F號,
豐原區,房地(土地+建物)+車位,臺中市豐原區南陽路綠山巷七弄,34.66,住,,,1140510,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.99,3,2,2,有,無,14050000,102763,坡道平面,31.81,1700000,,RPRNMLLLNHKGFDB77CB,東方大苑,B5棟10F號,
清水區,房地(土地+建物)+車位,臺中市清水區大勇路,14.24,商,,,1140510,土地1建物1車位2,二十層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.9,4,2,2,有,無,19300000,112268,坡道平面,69.08,2480000,,RPPNMLLLNHKGFFB77CB,遠雄星呈,B02棟20F號,
潭子區,房地(土地+建物)+車位,臺中市潭子區福貴路361號旁,25.15,住,,,1140510,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.22,3,2,2,有,無,15690000,121455,坡道平面,34.21,1600000,,RPPNMLLLNHKGFHB97CB,昌祐捷作,E棟3號,
潭子區,房地(土地+建物)+車位,臺中市潭子區福貴路361號旁,23.65,住,,,1140507,土地2建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.36,3,2,2,有,無,14350000,118186,坡道平面,34.21,1450000,,RPQNMLLLNHKGFHB08CB,昌祐捷作,I棟3號,
大雅區,房地(土地+建物)+車位,臺中市大雅區雅環路一段,28.28,住,,,1140428,土地5建物1車位1,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.56,3,2,2,有,無,23450000,167825,坡道平面,33.43,2450000,,RPRNMLLLNHKGFHB18CB,坤聯發大雅匯,E棟06號,
龍井區,房地(土地+建物)+車位,臺中市龍井區中山二路一段與龍山街口,27.27,住,,,1140427,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.59,2,2,2,有,無,8850000,83144,坡道平面,32.79,1550000,,RPPNMLLLNHKGFKB28CB,鋮豐富?,C棟3號,
北屯區,房地(土地+建物)+車位,臺中市北屯區四平路與昌平路二段交叉口,50.18,住,,,1140422,土地1建物1車位2,二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,242.54,3,2,2,有,無,39900000,206752,坡道平面,71.32,4500000,,RPPNMLMLNHKGFBB47CB,豐莚,A棟A3-02F號,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段何厝街口,14.21,住,,,1140503,土地2建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.77,2,2,2,有,無,21200000,227028,坡道平面,33.08,2200000,,RPPNMLMLNHKGFCB57CB,達麗拾穗,C棟9號,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段何厝街口,14.21,住,,,1140506,土地2建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.77,2,2,2,有,無,20680000,220815,坡道平面,33.08,2200000,,RPQNMLMLNHKGFCB67CB,達麗拾穗,B棟3號,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段何厝街口,14.21,住,,,1140508,土地2建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.77,2,2,2,有,無,20550000,219262,坡道平面,33.08,2200000,,RPRNMLMLNHKGFCB77CB,達麗拾穗,C棟3號,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段何厝街口,17.75,住,,,1140509,土地2建物1車位1,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.65,3,2,2,有,無,26700000,230468,坡道平面,33.08,2600000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMLNHKGFCB87CB,達麗拾穗,A棟19號,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段何厝街口,14.21,住,,,1140510,土地2建物1車位1,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.77,2,2,2,有,無,21300000,225833,坡道平面,33.08,2400000,,RPTNMLMLNHKGFCB97CB,達麗拾穗,C棟7號,
