鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
林園區,房地(土地+建物),高雄市林園區龔厝路,32.14,住,,,1140224,土地7建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,69.52,2,1,1,有,無,4420000,63579,,0.0,0,,RPQNMLKLLHKGFLE48CB,林園聚富,A2棟2F號,
左營區,房地(土地+建物),高雄市左營區民族一路1101巷22號6樓,18.87,住,,,1140315,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.01,1,2,1,有,無,11580000,131576,,0.0,0,,RPPNMLLLLHKGFEE77CB,小森學,A5棟6號,
左營區,房地(土地+建物),高雄市左營區民族一路1101巷16號2樓,20.53,住,,,1140302,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.76,2,2,2,有,無,12900000,134712,,0.0,0,,RPQNMLLLLHKGFEE87CB,小森學,A1棟2號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區公園三街,22.58,住,,,1140306,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.62,3,2,2,有,無,16450000,104424,坡道平面,20.2,2100000,交易總價含下列非屬預售屋價格之費用:贈送家電禮費:200000元,RPPNMLLLLHKGFGE97CB,愛上鈺璽,B棟1號,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區公園三街,23.23,住,,,1140307,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.98,3,2,2,有,無,16500000,102998,坡道平面,20.2,2000000,交易總價含下列非屬預售屋價格之費用:贈送家電禮費:200000元,RPQNMLLLLHKGFGE08CB,愛上鈺璽,A棟6號,
大寮區,房地(土地+建物),高雄市大寮區伍厝段1010-0001,93.11,住,,,1140315,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,172.26,4,1,4,有,無,17700000,102752,,0.0,0,,RPPNMLLLLHKGFLE48CB,旺春豐2期,A棟2號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,9.09,商,,,1140304,土地3建物1車位1,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.33,3,2,2,有,無,23360000,148914,坡道平面,37.57,2250000,雨遮面積得依法登記，不予計價,RPPNMLMLLHKGFAE47CB,星峰匯,A5棟10號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,8.11,商,,,1140305,土地3建物1車位1,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.11,2,2,2,有,無,23410000,166403,坡道平面,34.55,2350000,雨遮面積得依法登記，不予計價,RPQNMLMLLHKGFAE57CB,星峰匯,A1棟25號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,8.49,商,,,1140305,土地3建物1車位1,二十五層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.49,2,2,2,有,無,24590000,166503,坡道平面,45.12,2550000,雨遮面積得依法登記，不予計價,RPRNMLMLLHKGFAE67CB,星峰匯,A2棟25號,
前金區,房地(土地+建物)+車位,高雄市前金區五福三路,8.11,商,,,1140306,土地3建物1車位1,二十二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.13,2,2,2,有,無,22800000,162769,坡道平面,37.57,2200000,雨遮面積得依法登記，不予計價,RPSNMLMLLHKGFAE77CB,星峰匯,A1棟22號,
