鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
松山區,房地(土地+建物),臺北市松山區三民路１８０巷２１號五樓,30.0,都市：其他:住宅用地(民生社區特定專用區)。,,,1131117,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680924,103.89,4,4,3,有,無,21800000,209837,,0.0,0,頂樓加蓋；其他增建；,RPPPMLKLJHKGFDA17DA,91.58,0.0,12.31,無,
南港區,房地(土地+建物),臺北市南港區中坡南路３１巷６號二樓,42.75,住,,,1131126,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650423,96.46,4,2,1,有,無,21000000,217707,,0.0,0,陽台外推；其他增建；,RPXQMLSKKHKGFDA88DA,96.46,0.0,0.0,無,
北投區,房地(土地+建物),臺北市北投區珠海路１號,24.0,商,,,1131123,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631123,71.35,1,1,1,有,無,25000000,350385,,0.0,0,其他增建；具重建或重劃、都更等效益；,RPTOMLLKLHKGFEA77DA,71.35,0.0,0.0,無,1762
文山區,房地(土地+建物),臺北市文山區景華街８２巷２弄８號三樓,44.92,住,,,1131102,土地2建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640624,104.61,3,2,2,有,無,17560000,167862,,0.0,0,陽台外推、主建含梯間公設、陽台擴建、浴室一改二、鐵窗增建,RPPNMLQJKHKGFAA17DA,104.61,0.0,0.0,無,
中正區,房地(土地+建物)+車位,臺北市中正區仁愛路二段７４號八樓之３,20.96,住,,,1131126,土地2建物1車位2,八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1120523,263.22,3,2,2,有,有,93500000,502102,坡道平面,91.94,7500000,交易總價：9350萬元整內含車位價土地價格：7480萬元整、建物價格：1870萬元整。,RPVNMLTKKHKGFBA28DA,101.46,7.47,10.88,有,
中山區,房地(土地+建物),臺北市中山區錦州街３０巷１１號十樓之２０,3.78,商,,,1131130,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680613,32.81,1,1,1,有,有,9750000,297165,,0.0,0,,RPSOMLNJLHKGFCA57DA,25.73,0.0,0.0,有,1763
大安區,房地(土地+建物),臺北市大安區安居街８４巷２號二樓,16.23,住,,,1131111,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660318,48.33,3,2,1,有,無,3500000,72419,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKLHKGFFA97DA,41.2,0.0,7.13,無,
士林區,房地(土地+建物),臺北市士林區士商路４０巷６號,35.92,住,,,1131116,土地5建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680521,85.68,3,1,3,有,無,14800000,172736,,0.0,0,其他增建；,RPPNMLSKKHKGFEA97EA,69.41,16.27,0.0,無,
北投區,房地(土地+建物),臺北市北投區石牌路一段３９巷１２０弄１１號四樓,20.0,住,,,1131125,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0590324,60.05,2,1,2,有,無,12900000,214821,,0.0,0,,RPPNMLKKKHKGFEA07DA,60.05,0.0,0.0,無,
士林區,土地,翠山段二小段71-9地號,478.0,,,,1131120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000000,104603,,0.0,0,含建物未辦保存登記,RPPOMLLKLHKGFEA37DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),臺北市中正區西藏路６０號,85.04,住,,,1131126,土地3建物2車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831122,489.49,0,3,2,有,有,76000000,155264,,0.0,0,夾層；其他增建；,RPTNMLPKJHKGFAA47DA,383.08,60.81,0.0,有,
中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段４１號十一樓之１,9.83,商,,,1131126,土地2建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,163.26,0,0,0,無,有,32370000,287642,坡道機械,63.24,3600000,,RPQNMLOKKHKGFCA37DA,64.5,0.0,3.08,有,
松山區,房地(土地+建物),臺北市松山區民生東路四段５５巷３０號三樓之３、之４,14.23,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬住宅用地)。,,,1131129,土地3建物1車位0,三層，陽臺,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650319,59.23,2,2,1,有,無,17560000,296471,,0.0,0,陽台外推；其他增建；,RPPNMLOLJHKGFDA37DA,59.23,0.0,0.0,有,
北投區,房地(土地+建物)+車位,臺北市北投區天母西路１１６號八樓,56.45,商,,,1131129,土地2建物1車位2,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1111228,383.90999999999997,0,0,0,無,有,121110000,369248,坡道平面,75.96,7400000,,RPTNMLQLJIJGFEA08DA,179.89,0.0,21.27,有,
士林區,房地(土地+建物)+車位,臺北市士林區大西路７１號三樓,50.42,商,,,1131117,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900119,224.58,4,2,2,有,有,48800000,217295,坡道平面,44.94,0,其他增建；,RPSNMLLLKHKGFEA57DA,118.75,0.0,13.18,有,
