鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號６樓之２０,0.0,,,,1140211,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0930712,20.33,1,0,1,有,有,有,3200,157,,0.0,0,含增建或未登記建物；續租案件；,RPTNMLTKKHKGFCT57CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號６樓之２２,0.0,,,,1140211,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0930712,18.14,1,0,1,有,有,有,2900,160,,0.0,0,含增建或未登記建物；續租案件；,RPUNMLTKKHKGFCT67CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號６樓之２８,0.0,,,,1140211,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土構造,0930712,18.439999999999998,1,0,1,有,有,有,3200,174,,0.0,0,含增建或未登記建物；續租案件；,RPVNMLTKKHKGFCT77CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
潮州鎮,租賃房屋,屏東縣潮州鎮光輪路１５５號第９樓之７,0.0,,,,1140219,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850328,165.26,3,2,2,有,有,有,16000,97,,0.0,0,,RPXNMLTKKHKGFCT97CC,整棟(戶)出租,有,1140219~1150218,有,冷氣、洗衣機、冰箱,社會住宅包租轉租
長治鄉,租賃房屋,屏東縣長治鄉香楊路３３號８樓之１１,0.0,,,,1140217,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841006,51.1,1,1,1,有,有,無,7000,137,,0.0,0,,RPPNMLKLKHKGFAT78CC,獨立套房,有,1140220~1160219,有,,
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號２樓之６２,0.0,,,,1140213,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0930712,18.98,1,0,1,有,有,有,2900,153,,0.0,0,含增建或未登記建物；,RPPNMLKLKHKGFCT98CC,獨立套房,有,1140215~1140814,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號３樓之５,0.0,,,,1140214,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),辦公室,鋼筋混凝土構造,0930712,19.799999999999997,1,0,1,有,有,有,3200,162,,0.0,0,含增建或未登記建物；續租案件；,RPTNMLKLKHKGFCT76CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號３樓之３０,0.0,,,,1140212,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0930712,19.87,1,0,1,有,有,有,3200,161,,0.0,0,含增建或未登記建物；續租案件；,RPUNMLKLKHKGFCT86CC,獨立套房,有,1140301~1140831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
東港鎮,租賃房屋,屏東縣東港鎮沿海路３９４號４樓,0.0,,,,1140220,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820721,121.06,3,2,2,有,無,有,16000,132,,0.0,0,,RPPNMLKLKHKGFDT09CC,整棟(戶)出租,無,1140225~1150224,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市安心十橫巷１９號,0.0,,,,1140219,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0681226,81.28,3,2,2,有,無,無,10000,123,,0.0,0,,RPPNMLLLKHKGFAT88CC,整棟(戶)出租,無,1140225~1150224,無,熱水器,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市民教路１９４號二樓之六,0.0,,,,1140219,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840428,32.21,1,0,1,有,有,有,5500,171,,0.0,0,,RPQNMLLLKHKGFAT98CC,獨立套房,有,1140225~1141227,有,冷氣、熱水器、洗衣機、冰箱,社會住宅包租轉租
內埔鄉,租賃房屋,屏東縣內埔鄉壽比路２３２號６樓之１,0.0,,,,1140215,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.57,2,0,2,有,有,有,5600,177,,0.0,0,租金總額含管理費；網路費；,RPPNMLLLKHKGFCT09CC,分租套房,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉福泰路３-３號６樓,0.0,,,,1140212,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.89,3,0,3,有,有,有,5300,156,,0.0,0,租金總額含管理費；網路費；,RPRNMLLLKHKGFCT66CC,分租套房,有,1140201~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
內埔鄉,租賃房屋,屏東縣內埔鄉福泰路３-３號２樓,0.0,,,,1140214,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1031217,33.89,3,0,3,有,有,有,5500,162,,0.0,0,租金總額含管理費；網路費；,RPSNMLLLKHKGFCT76CC,分租套房,有,1140201~1150630,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
